ID ,question,answer
16,a yearold boy is brought to his pediatricians office for a followup visit he was diagnosed with asthma when he was  years old and has since been on treatment for the condition he is currently on a agonist inhaler because of exacerbation of his symptoms he has observed that his symptoms are more prominent in springtime especially when the new flowers are blooming his mother has a backyard garden and whenever he goes out to play there he experiences chest tightness with associated shortness of breath he has been advised to take more precaution during this seasonal change and to stay away from pollen he is also being considered for an experimental therapy which attenuates the activity of certain mediators which cause his asthmatic attack the targeted mediator favors the class switching of antibodies a reduction in this mechanism will eventually reduce the exaggerated response observed during his asthmatic attacks even when exposed to an allergen which of the following mediators is described in this experimental study,il
17,a monthold boy is brought the emergency department by his parents after an episode of cyanosis and muscle hypotonia that resolved after  minutes diagnostic evaluation fails to discover an exact etiology of the boys symptoms and the episode is classified as a brief resolved unexplained event brue the risk profile for brue in infants remains largely unknown the pediatrician who saw the boy in the emergency department is trying to identify risk factors for brue she is aware of several confounders including age socioeconomic background and family history of medical illness she recruits  infants under  year of age with brue and  infants without brue of the same age socioeconomic background and family history of medical illness she then compares the two groups with regard to history of feeding problems and history of recent upper respiratory infection which of the following methods was conducted to control confounding bias in the study,matching
18,a yearold man presents to the emergency department due to central chest pain over the past  days which is constant and unrelated to exertion the pain is sharp severe increases when lying down and improves with leaning forward the pain also radiates to his shoulders and neck the patient has no past medical history he has smoked  cigarettes per day for the past  years and occasionally drinks alcohol he presents with vital signs blood pressure  mm hg regular radial pulse of min and temperature c f on physical exam a scratching sound of toandfrom character is audible over the left sternal border at endexpiration with the patient leaning forward his chest xray is normal and ecg is shown in the picture which of the following is the optimal therapy for this patient,ibuprofen  colchicine  omeprazole
19,a yearold man is brought to the emergency department for evaluation of altered mental status he was found on the floor in front of his apartment he is somnolent but responsive when aroused his pulse is min respiratory rate is min and blood pressure is  mm hg on physical examination an alcoholic smell and slurred speech are noted neurological exam shows diminished deep tendon reflexes bilaterally and an ataxic gait his pupils are normal blood alcohol concentration is  an ecg shows no abnormalities which of the following is the most likely cause of this patients symptoms,benzodiazepine intoxicationn
20,a yearold woman presents to the emergency room with the complaints of fever malaise and night sweats she recently observed an enlargement of her axillary lymph nodes which she examines on a weekly basis she has a remote history of breast cancer in her s that was treated with radiation and chemotherapy she also reports a history of extensive travel to africa and a packyear history of smoking on physical exam several axillary lymph nodes are palpable with a large nontender palpable mass in her right axilla measuring  x  cm fineneedle aspiration demonstrates what the pathologist describes as a centroblastic and immunoblastic cell presence suspicious for nonhodgkins lymphoma nhldiffuse large b cell variant which of the following risk factors is responsible for this patients condition,previous radiation therapy
21,a monthold infant is brought to her pediatrician because she coughs and seems to have difficulty breathing while feeding in addition she seems to have less energy compared to other babies and appears listless throughout the day she was born by cesarean section to a gp woman with no prior medical history and had a normal apgar score at birth her parents say that she has never been observed to turn blue physical exam reveals a highpitched holosystolic murmur that is best heard at the lower left sternal border the most likely cause of this patients symptoms is associated with which of the following abnormalities,q deletion
22,a yearold african american woman comes to the physician for the evaluation of a dry cough and chest discomfort for the past  days during this period the patient has had headaches muscle aches joint pain fever and chills ten days ago she was hiking with her family in mississippi the patient has asthma that is treated with an albuterol inhaler her mother has a lung disease treated with methotrexate the patient has smoked one pack of cigarettes daily for the past  years her temperature is c f physical examination shows slight wheezes throughout both lung fields laboratory studies and urinalysis are positive for polysaccharide antigen bronchoalveolar lavage using silverpasstaining shows macrophages filled with a dimorphic fungus with septate hyphae which of the following is the most likely cause of this patients symptoms,histoplasma capsulatum infection
23,a yearold patient has been hospitalized for a week due to a stroke one week into the hospitalization he develops a fever and purulent cough his vitals include heart rate min respiratory rate min temperature c f and blood pressure  mm hg on physical examination he has basal crackles on the right side of the chest chest radiography shows a new consolidation on the same side complete blood count is as followsnhemoglobin  mgdlnhematocrit nleukocyte count mmnneutrophils nbands neosinophils nbasophils nlymphocytes nmonocytes nplatelet count mmnwhat is the most likely causal microorganism,staphylococcus aureus
24,a yearold boy is brought to the emergency department by his mother for worsening wheezing and shortness of breath over the past day he has not had a fever cough vomiting or diarrhea he has asthma and eczema he uses a glucocorticoid inhaler and an albuterol inhaler but has missed his medications for the past week while on vacation he appears uncomfortable his temperature is c f pulse is min respirations are min and blood pressure is  expiratory and inspiratory wheezing is heard throughout both lung fields there are moderate intercostal and subcostal retractions and a decreased inspiratory to expiratory ratio nebulized albuterol and ipratropium treatments and intravenous methylprednisolone are given in the emergency department for a presumed asthma exacerbation one hour later the child is limp and lethargic magnesium sulfate is administered his temperature is c f pulse is min respirations are min and blood pressure is  no wheezing is heard on repeat pulmonary examination which of the following is the most appropriate next step in management,intubate with mechanical ventilation
25,a yearold female suffers from recurrent infections by aspergillus species pseudomonas species and staphylococcus aureus the patients neutrophils are examined in the laboratory and they fail to react during the nitroblue tetrazolium test which of the following is most likely dysfunctional in this patient,respiratory burst
26,a yearold boy presents to the emergency department with a coughlikeaseal bark and a highpitched inspiratory noise that is audible without a stethoscope his mother reports that his cough has worsened over the last few hours the patients blood pressure is  mm hg pulse is min respiratory rate is min and temperature is c f on physical examination the boy is sitting and leaning forward in apparent respiratory distress with suprasternal and intercostal retractions auscultation reveals inspiratory stridor without wheezing he has a frequent barking cough and a hoarse voice when he speaks what is a chest xray likely to show,steeple sign
27,a yearold woman presents to a gynecologist after a missed period after performing a complete physical examination and a screening test for pregnancy her gynecologist informs her that she is pregnant she is very surprised as she has been taking oral contraceptives regularly when the gynecologist asks her about the consumption of any other medications she mentions that she was placed on treatment for pulmonary tuberculosis tb  months ago her current antitb regimen includes rifampin isoniazid pyrazinamide and ethambutol which of the following mechanisms best explains the failure of oral contraceptives in this patient,induction of cypa by rifampin leading to decreased serum levels of ethinylestradiol and progesterone
28,a yearold previously healthy boy presents with  days of intermittent vomiting and  daily loose stools his mother noted bloody stools and decreased oral intake of food and water over the last  hours he is normally in daycare however he has been home for the past  days on physical exam his temperature is f c blood pressure is  mmhg pulse is min respirations are min and o saturation is  on room air he has dry mucous membranes on abdominal exam you note diffuse tenderness to palpation without rebound or guarding there are no masses hepatosplenomegaly and bowel sounds are hyperactive ultrasound of the right lower quadrant is negative for appendicitis stool is guaiac positive he receives mgkg acetaminophen and fluids are started the next day he complains of lower extremity weakness and tingling on repeat exam lower extremity strength is  with diminished patellar deep tendon reflexes which of the following lab findings would most likely be seen in this patient,increased cerebrospinal fluid protein with normal cell count
29,a weekold male newborn is brought to the physician because of an inward turning of his left forefoot he was born at  weeks gestation by cesarean section because of breech presentation the pregnancy was complicated by oligohydramnios examination shows concavity of the medial border of the left foot with a skin crease just below the ball of the great toe the lateral border of the left foot is convex the heel is in neutral position tickling the lateral border of the foot leads to correction of the deformity the remainder of the examination shows no abnormalities xray of the left foot shows an increased angle between the st and nd metatarsal bones which of the following is the most appropriate next step in the management of this patient,reassurance
30,a yearold woman comes to the emergency department because of a day history of right upper abdominal pain and nausea she is  cm  ft  in tall and weighs  kg  lb her bmi is  kgm her temperature is c f physical examination shows a distended abdomen and right upper quadrant tenderness with normal bowel sounds laboratory studies shownleukocyte count mmnserumntotal bilirubin  mgdlnast  ulnalt  ulnalkaline phosphatase  ulnabdominal ultrasonography is performed but the results are inconclusive cholescintigraphy shows the intrahepatic bile ducts hepatic ducts common bile duct and proximal small bowel which of the following is the most likely cause of this patients symptoms,obstruction of the cystic duct
31,a yearold woman is admitted to the intensive care unit for shortness of breath and palpitations a cardiac catheterization is performed and measurements of the left ventricular volume and pressure at different points in the cardiac cycle are obtained the patients pressurevolume loop gray is shown with a normal pressurevolume loop black for comparison which of the following is the most likely underlying cause of this patients symptoms,increased ventricular wall stiffness
32,a yearold woman is brought to the emergency department because of a day history of fever intermittent rigors and night sweats she also has a month history of progressive fatigue five weeks ago she was hospitalized and received intravenous antibiotics for treatment of bacterial meningitis while visiting relatives in guatemala her temperature is c f pulse is min and blood pressure is  mm hg examination shows pallor and scattered petechiae and ecchymoses laboratory studies show a hemoglobin concentration of  gdl a leukocyte count of mm with  segmented neutrophils and a platelet count of mm  blood cultures grow coagulasenegative staphylococci the patient was most likely treated with which of the following antibiotics,chloramphenicol
33,an otherwise healthy yearold man comes to the physician because of a month history of increasingly frequent episodes of upper abdominal pain nausea vomiting and diarrhea he has had a kg lb weight loss during this time physical examination shows bilateral pitting pedal edema an endoscopy shows prominent rugae in the gastric fundus biopsy shows parietal cell atrophy which of the following is the most likely underlying cause,proliferation of gastric mucusproducing cells
34,a yearold man presents to the emergency department he was brought in by staff from the homeless shelter when they found him unresponsive the patient is a known iv drug abuser but otherwise has an unknown past medical history he currently attends a methadone clinic his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air initial laboratory values are shown belownnserumnna  meqlncl  meqlnk  meqlnhco  meqlnglucose  mgdlnnthe patient is given treatment after treatment his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air his laboratory values are seen belownnserumnna  meqlncl  meqlnk  meqlnhco  meqlnglucose  mgdlnnwhich of the following is the best next step in management,insulin potassium iv fluids and glucose
35,a yearold man who was diagnosed with arthritis  years ago presents with right knee swelling and pain his left knee was swollen a few weeks ago but now with both joints affected he has difficulty walking and feels frustrated he also has back pain which makes it extremely difficult to move around and be active during the day he says his pain significantly improves with rest he also suffers from dandruff for which he uses special shampoos physical examination is notable for pitting of his nails which of the following is the most likely diagnosis,psoriatic arthritis
36,a yearold woman schedules an appointment with her physician for evaluation of weight loss and weakness the weakness is more noticeable when climbing stairs and combing hair the weakness improves after brief exercise she also has bladder incontinence for the past  weeks and was given an anticholinesterase agent with no improvement what is the most likely cause of the symptoms,paraneoplastic syndrome from small cell carcinoma of the lung
37,a monthold boy presents to his pediatrician with persistent diarrhea oral candidiasis and signs and symptoms suggestive of respiratory syncytial virus rsv pneumonia his weight is in the th percentile he is being evaluated for an immunodeficiency disease laboratory results for the hiv are negative by pcr which of the following is the most likely cause of these findings in this patient,defective t cell function
38,a yearold man with recurrent pancreatic adenocarcinoma is enrolled in a clinical trial for a novel chemotherapeutic agent that his physician believes may be beneficial to his condition the novel drug was previously tested in a small population and is now undergoing a larger phase  trial in preparation for fda approval a doseresponse trial had the following resultsnn mg dose   patients demonstrated improvementn mg dose   patients demonstrated improvementn mg dose   patients demonstrated improvementn mg dose   patients demonstrated improvementnnthe same trial also had the following safety profilenn mg dose   patients had a treatment related adverse eventn mg dose   patients had a treatment related adverse eventn mg dose   patients had a treatment related adverse eventn mg dose   patients had a treatment related adverse eventn mg dose   patients had a treatment related adverse eventnnbased on this study which of the following represents the most likely therapeutic index for this novel chemotherapeutic agent,
39,a yearold male is seen by neurology after he was noticed to be speaking strangely by his family after acute treatment with tissue plasminogen activator tpa the patient is able to recover most of his speech subsequent neurologic exam finds that the patient is fluent while speaking and is able to comprehend both one and two step instructions noticeably the patient remains unable to complete tasks involving verbal repetition residual damage to which of the following structures is most likely responsible for this patients syndrome,arcuate fasciculus
40,a yearold woman presents to the office with concerns about her long struggle with her physical appearance since adolescence she says she has always been large and was constantly targeted by her classmates and coworkers for being so her main concern at the moment is her acne and unwanted facial hair on her upper lip for which she often visits a local spa she has tried numerous diet plans exercise regimens and cosmetic products with little to no effect recently she underwent a glucose tolerance test that showed a plasma glucose level of  mgdl  mmoll after  hours of a  g dose of oral glucose she has a family history of type  diabetes mellitus and a menstrual cycle that occurs every  days her pulse is min and the blood pressure is  mm hg on physical examination her height is  cm  ft  in and her weight is  kg  lb and she has severe inflammatory acne over the cheeks and forehead and dark coarse hairs on the back what is the most likely diagnosis of this patient,polycystic ovarian syndrome pcos
41, rold mn rnt wth tnglng nd numbn of the lowr lmb for  wk  also omln of rtnt n in his legs whh is not relieved by overthecounter analgesics past medical history is significant for type  dbtes mellitus for  r inconsistently managed with mtformn nd glmrd n physical mnton thr  drd nton to pain in both lower lmbs but deep tndon rfl r ntt  vtl gn include blood rur  mm g tmrtur c f and rrtor rt mn his anklebrachial pressure index abpi on the right side is  his blood sugar analyses are as followsnfasting  mg dln hours postprandial  mg dlnhbac nwhich of the following is the best measure to prevent the progression of the symptoms present in this patient,strict blood glucose control
42,a onedayold male is evaluated in the hospital nursery for bilious vomiting the patient has urinated multiple times since birth but has not yet passed meconium he was born at  weeks gestation to a yearold gravida  via vaginal delivery the pregnancy was complicated by gestational diabetes the patients mother received routine prenatal care and declined first trimester screening she subsequently underwent a quadruple screen at  weeks gestation that demonstrated decreased maternal serum alphafetoprotein afp increased betahcg decreased unconjugated estriol and increased inhibin a her last ultrasound prior to onset of labor demonstrated an amniotic fluid index afi of  cm the patients two older siblings are both healthy the patients temperature is f c blood pressure is  mmhg pulse is min and respirations are min on physical exam the patient is in moderate distress his abdomen is firm and distended with hypoactive bowel soundsnnwhich of the following is the most likely etiology of this fetuss presentation,duodenal atresia
43,a healthy yearold male is undergoing an exercise stress test as part of his physiology class if blood were to be sampled at different locations before and after the stress test which area of the body would contain the lowest oxygen content at both time points,coronary sinus
44,a yearold gp presents to her gynecologists office with six months of increasingly heavy periods she now soaks one super absorbent tampon every two hours for five days each cycle her cycles have also become irregular with intermenstrual bleeding for the last two months she now experiences significant dysmenorrhea requiring  mg ibuprofen every four hours for the majority of each menses in addition she reports new onset mild dyspareunia with intercourse and a heavy feeling in her pelvis she has also noticed increased urinary frequency but denies bowel changes the patient has a past medical history of obesity and type ii diabetes on metformin her last child was born four years ago and she has had five spontaneous vaginal deliveries at this office visit temperature is f c blood pressure is  mmhg pulse is min and respirations are min which of the following physical exam findings is most likely to be present in this patient,globular week sized uterus
45,a man is brought into the emergency department by the police department the officer state that the man has been arrested multiple times for public alcohol intoxication but recently became homeless on exam the man is behaving erratically his vitals are all within normal limits he appears confused and has a slurred speech on gait exam the patient is ataxic and cannot stand without support for more than a few seconds labs return with the following values na  k  cl  bun  cr  his abg has ph  paco mm pao mm hco  his urinalysis is shown in figure  blood salicylate levels return as normal while you await other diagnostic tests which of the following should be administered next to treat this patient,fomepizole
46,a medical research study is evaluating an investigational novel drug medication  compared with standard therapy medication  in patients presenting to the emergency department with myocardial infarction mi the study enrolled a total of  subjects  in each study arm followup was conducted at  days postmi the following are the results of the trialnendpoints medication  medication  pvaluenprimary death from cardiac causes   nsecondary hyperkalemia   nwhat is the number needed to treat nnt for the primary endpoint of death from cardiac causes round to the nearest whole number,
47,a yearold man comes to the physician because of a week history of tingling pain in the sole of his right foot when he raises it above chest level during exercises he reports that he started exercising regularly  months ago and that his right calf cramps when he uses the incline feature on the treadmill forcing him to take frequent breaks the pain completely disappears after resting for a few minutes he has an year history of type  diabetes mellitus he has smoked two packs of cigarettes daily for  years his only medication is metformin his pulse is min and blood pressure is  mm hg straight leg raise test elicits pallor and tingling pain in the right foot there is no pain in the back his muscle strength is normal femoral pulses are palpable right pedal pulses are absent which of the following is the most likely diagnosis,femoropopliteal artery stenosis
48,a yearold primigravid woman at  weeks gestation is admitted to the hospital in labor she has no history of serious medical illness she has had an uncomplicated pregnancy her last ultrasound at  weeks gestation was normal on admission fetal heartbeats cannot be detected by fetal doppler monitor ultrasound shows decreased amniotic fluid levels and no evidence of fetal movement respiration or heart activity the patient gives birth to a  g  lb  oz male infant physical examination shows no signs of life there are no visible malformations the placenta is unremarkable which of the following is the most appropriate next step in management,recommend autopsy of the infant
49,a yearold man is hospitalized after several days of fever and increasing shortness of breath respiratory viral panel returns positive for influenza a and the patient is started on a standard five day course of oseltamivir despite therapy his shortness of breath continues to worsen and his oxygen saturation decreases to the point where icu transfer and intubation are required chest radiograph shows bilateral infiltrates clinical criteria are consistent with development of acute respiratory distress syndrome ards after several weeks of supportive therapy the patient improves with lung function returning to near normal which of the following processes is involved in the regeneration of alveolar lining after damage to alveoli occurs,proliferation of surfactantsecreting cells
50,a yearold male is treated for anal carcinoma with therapy including external beam radiation how does radiation affect cancer cells,induces breaks in doublestranded dna
51,a yearold man with a history of hypertension presents to his physician with progressive fatigue and new onset muscle cramps he has had no recent changes to his medication regimen which includes hydrochlorothiazide lisinopril and amlodipine his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air the patients cardiopulmonary and abdominal exams are unremarkable laboratory values are ordered as seen belownnserumnna  meqlncl  meqlnk  meqlnhco  meqlnbun  mgdlnglucose  mgdlnnwhat is the most likely underlying etiology of this patients hypertension,aldosterone excess
52,a yearold man comes to the physician because of a week history of yellowish discoloration of his skin and generalized pruritus examination shows jaundice of the skin and scleral icterus urinalysis shows an elevated concentration of bilirubin and a low concentration of urobilinogen which of the following is the most likely underlying cause of these findings,defective hepatic bile excretion
53,a yearold woman is brought to the physician by her daughter because of a month history of worsening shortterm memory deficits and social withdrawal treatment with galantamine is initiated two weeks later the patient develops vomiting mild crampy abdominal pain and watery nonbloody diarrhea which of the following is the most appropriate pharmacotherapy,atropine
54,a yearold man with schizophrenia in a locked inpatient psychiatry unit was observed making an unusual smacking motion with his lips pursing his mouth and blinking excessively these symptoms started slowly about  weeks ago and have become more pronounced but they do not seem to bother the patient he resides in an inpatient psychiatric facility where he has been successfully treated with haloperidol for the past several months his physical exam and vitals are within normal limits which of the following accurately describes his symptoms,tardive dyskinesia
55,a yearold football player with no significant past medical history social history or family history presents to his pediatrician with itching in his groin he says this started during summer workouts leading up to this season he denies having any rash anywhere else on his body the blood pressure is  mm hg pulse is min respiratory rate is min and temperature is c f physical examination reveals an erythematous welldemarcated patch with peripheral scale on the left thigh pubic region and perineum there is no apparent scrotal involvement with the rash how can you confirm the suspected diagnosis,koh examination of lesion scrapings
56,an otherwise healthy yearold man comes to the physician for medication counseling after recently being diagnosed with schizophrenia risperidone therapy is initiated this patient is at increased risk for which of the following adverse effects,gynecomastia
57,a yearold woman presents with fever altered mental status and a petechial rash on her lower extremities and back since yesterday evening she also says she has been nauseous for the past  hours and has vomited twice the patient mentions she has had heavy menstrual bleeding for the past few days her blood pressure is  mm hg and her temperature is c f on physical examination the patient appears diaphoretic a pelvic examination reveals a tampon in her vagina binding and activation of which of the following t cell receptors is responsible for this patients most likely condition,variable sequence of the t cell receptor
58,a yearold boy is brought to the physician for evaluation of pallor and increasing lethargy for  days one week ago he experienced abdominal pain vomiting and bloody diarrhea that have since subsided the patients father states that they returned early from a week roadtrip in mexico because of these symptoms his parents have been giving him oral rehydration solution his immunizations are uptodate he appears pale his temperature is c f pulse is min respirations are min and blood pressure is  mm hg examination shows scleral icterus the abdomen is soft and nontender there is no rebound or guarding bowel sounds are hyperactive the remainder of the examination shows no abnormalities laboratory studies shownhemoglobin  gdlnmean corpuscular volume  mnleukocyte count mmnplatelet count mmnprothrombin time  secnpartial thromboplastin time  secnserumnurea nitrogen  mgdlncreatinine  mgdlnbilirubinntotal  mgdlndirect  mgdlnlactate dehydrogenase  ulna blood smear shows schistocytes which of the following is the most likely diagnosis,hemolytic uremic syndrome
59,a yearold girl is referred by her dentist for a suspected eating disorder she has been visiting the same dentist since childhood and for the past  years has had at least  visits for dental caries she eventually admitted to him that she regularly induces vomiting by putting her fingers down her throat she says she has been doing this for the last few years and purging at least once a week more recently she has been inducing emesis more often and even looked into diuretics as she feels that she is gaining more and more weight compared to her skinny friends her bmi is at the th percentile for her age and sex which of the following features is most consistent with this patients condition,patients with this disorder are not further subtyped
60,a yearold girl is brought to the physician by her father because of fever chills abdominal pain and profuse nonbloody diarrhea her symptoms began one week ago when she had several days of lowgrade fever and constipation she returned from indonesia  weeks ago where she spent the summer with her grandparents her temperature is c f examination shows diffuse abdominal tenderness and mild hepatosplenomegaly there is a faint salmoncolored maculopapular rash on her trunk and abdomen which of the following is the most likely causal organism,salmonella typhi
61,a yearold female college student is treated with metronidazole after presenting to student health services with itching discharge and pain in her vagina at a party shortly afterward she experiences facial flushing nausea tachycardia dyspnea headache and abdominal cramps after consuming alcohol serum levels of which of the following are likely elevated in this patient following alcohol consumption,acetaldehyde
62,a yearold primigravida presents for a regular prenatal care visit at  weeks gestation she complains of increased fatigability but is otherwise well she takes folic acid iron and vitamin d supplementation her vital signs are as follows blood pressure  mm hg heart rate min respiratory rate min and temperature   the physical examination is unremarkable the complete blood count results are as belownerythrocyte count  millionmmnhb  gdlnhct nreticulocyte count nmcv  flnplatelet count mmnleukocyte count mmnwhich of the following tests is required to investigate the cause of the patients laboratory findings,no tests required
63,an yearold man is transferred from a stepdown unit to a medsurg floor in the hospital he had undergone a successful hernia surgery  hours ago before the surgery he was pretreated with atropine scopolamine and morphine and recovered well in the pacu after the surgery there were no complications in the stepdown unit and the patient continued to recover on the medsurg floor his temperature is c f the heart rate is min the respiratory rate is min the blood pressure is  mm hg the oxygen saturation is  on physical exam he is a welldeveloped obese man his heart has a regular rate and rhythm and his lungs are clear to auscultation bilaterally his incision site is clean dry and intact with an appropriate level of swelling and erythema during the physical the patient mentions some discomfort in his abdomen and pelvis and during a records review it is noted that he has not passed urine in the pacu stepdown unit or since arriving on the medsurg floor a bladder scan is inconclusive due to body habitus what is the next best step in the treatment of this patient,insert a straight cath into the patients bladder
